host_name,host_aliases,host_apps,sources,last_reported_time,host_status,tags,ipaddress
aks-akslxpool-34527025-vmss00000p-mendix-dev-aks,"['e565e509-fcee-4a3e-807a-d3904ce2b040', 'aks-akslxpool-34527025-vmss00000p-mendix-dev-aks']","['agent', 'kubernetes_state', 'ntp', 'kubernetes', 'azure']","['azure', 'agent']",1632488692,True,"{'Azure': ['aksapiserveripaddress:10.193.153.4', 'application:mendix', 'availability-zone:eastus2', 'backupretention:7', 'casecode:l7cv', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'creationsource:vmssclient-aks-akslxpool-34527025-vmss', 'department:nextgen', 'managedwith:terraform', 'name:aks-akslxpool-34527025-vmss_25', 'operating_system:linux', 'orchestrator:kubernetes:1.19.13', 'owner:tsgcloudops', 'poolname:akslxpool', 'region:eastus2', 'resource_group:nextgen-mendix-dev-aks', 'resourcenamesuffix:34527025', 'size:standard_ds3_v2', 'subscription_id:6f3bf2b5-c360-4bdf-9b5d-a78d753fa3bb', 'subscription_name:nextgen-mendix', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:devlopment'], 'Datadog': ['cluster_name:mendix-dev-aks', 'kube_cluster_name:mendix-dev-aks', 'kube_node_role:agent', 'host:aks-akslxpool-34527025-vmss00000p-mendix-dev-aks']}",
i-079c3c584be504d85,"['ip-10-91-25-241.bain.com', 'i-079c3c584be504d85']","['ntp', 'aws', 'docker', 'agent']","['aws', 'agent']",1632488750,True,"{'Datadog': ['host:i-079c3c584be504d85'], 'Amazon Web Services': ['account:baintsg', 'application:pricing', 'availability-zone:us-east-1b', 'aws_account:379084356790', 'aws_autoscaling_groupname:tf-asg-20200914232623076000000002', 'casecode:y8bk', 'cloud_provider:aws', 'department:tsg', 'iam_profile:nomad-pricing-prod-client20200914215203813400000004', 'image:ami-0fdb4a9b49db1a1c1', 'instance-type:t3.large', 'kernel:none', 'managedby:ansible', 'monitoredby:datadog', 'name:nomad-pricing-prod-client', 'nomad-pricing-prod-clients:nomad-pricing', 'owner:tsgcloudops', 'region:us-east-1', 'security-group:sg-0531db8aed52e6b9b', 'tier:production']}",
i-023fcdfb2782663da,"['ip-10-91-25-141.bain.com', 'i-023fcdfb2782663da']","['agent', 'docker', 'ntp', 'aws']","['aws', 'agent']",1632489454,True,"{'Datadog': ['tier:staging_application:pricing_department:tsg_owner:tsgenterpriseinfra_casecode:y8bk', 'host:i-023fcdfb2782663da'], 'Amazon Web Services': ['account:baintsg', 'application:pricing', 'availability-zone:us-east-1b', 'aws_account:379084356790', 'aws_autoscaling_groupname:tf-asg-20200921200943687900000006', 'casecode:y8bk', 'cloud_provider:aws', 'department:tsg', 'iam_profile:nomad-pricing-staging-client20200921200933993500000004', 'image:ami-0fdb4a9b49db1a1c1', 'instance-type:t3.large', 'kernel:none', 'managedby:ansible', 'monitoredby:datadog', 'name:nomad-pricing-staging-client', 'nomad-pricing-staging-clients:nomad-pricing', 'owner:tsgcloudops', 'region:us-east-1', 'security-group:sg-0e16b9325c92626bb', 'tier:staging']}",
SAOORION1V,['SAOORION1V'],"['vsphere', 'agent']","['vsphere', 'agent']",1632487584,True,"{'Datadog': ['host:SAOORION1V'], 'vSphere': ['department:tsg', 'location:sao', 'tier:production', 'vcenter_server:corpvc1.bain.com', 'vsphere_cluster:sao', 'vsphere_datacenter:local_office', 'vsphere_folder:datacenters', 'vsphere_folder:sao', 'vsphere_folder:vm', 'vsphere_folder:vms', 'vsphere_host:saoesxi03.bain.com', 'vsphere_type:vm']}",10.144.4.18
ignite.dev,"['ip-10-192-2-76.eu-central-1.compute.internal', 'ignite.dev', 'i-088bf129859c3b3ae']","['trace', 'agent']",['agent'],1632489704,True,{'Datadog': ['host:ignite.dev']},10.192.2.76
ngts-nv-prod1.ngtableau.com,"['ngts-nv-prod1.ngtableau.com', 'ip-10-95-224-236.ngtableau.com', 'i-0286b4d5c9602d4e4']","['agent', 'cwagent', 'ntp', 'aws']","['aws', 'agent']",1632488523,True,"{'Datadog': ['application:tableau_server', 'casecode:l7cv', 'department:nextgen', 'owner:tsgcloudops', 'tier:production', 'host:ngts-nv-prod1.ngtableau.com'], 'Amazon Web Services': ['account:nextgentableau', 'application:tableau_server', 'availability-zone:us-east-1a', 'aws_account:213567095658', 'backupretention:45', 'casecode:l7cv', 'cloud_provider:aws', 'department:nextgen', 'iam_profile:tableau-prod-instance-profile', 'image:ami-0a69e92bba19c1825', 'instance-type:r5.4xlarge', 'kernel:none', 'managedwith:terraform', 'name:tableau-prod', 'owner:tsgplatforminfra', 'region:us-east-1', 'security-group:sg-00c1ee56d527f577c', 'security-group:sg-09940b59e6b4d4df1', 'tier:production']}",10.95.224.236
aks-akslxpool-19034310-vmss000002,"['d6cd804d-8808-4c94-bad9-ab2de661a8bb', 'aks-akslxpool-19034310-vmss000002-mendix-prod-aks', 'aks-akslxpool-19034310-vmss000002']","['ntp', 'agent', 'docker', 'kubernetes', 'kubernetes_state', 'azure']","['azure', 'agent']",1632488052,True,"{'Azure': ['aksapiserveripaddress:10.216.34.4', 'application:mendix', 'availability-zone:eastus2', 'backupretention:45', 'casecode:l7cv', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'createoperationid:0c10b1f6-f647-47a5-82bd-30ee7fb234f1', 'creationsource:vmssclient-aks-akslxpool-19034310-vmss', 'department:nextgen', 'managedwith:terraform', 'name:aks-akslxpool-19034310-vmss_2', 'operating_system:linux', 'orchestrator:kubernetes:1.18.17', 'owner:tsgplatforminfra', 'poolname:akslxpool', 'region:eastus2', 'resource_group:nextgen-mendix-prod-aks', 'resourcenamesuffix:19034310', 'size:standard_ds2_v2', 'subscription_id:6f3bf2b5-c360-4bdf-9b5d-a78d753fa3bb', 'subscription_name:nextgen-mendix', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production'], 'Datadog': ['cluster_name:mendix-prod-aks', 'kube_cluster_name:mendix-prod-aks', 'kube_node_role:agent', 'host:aks-akslxpool-19034310-vmss000002']}",
i-064b37b87c4382afa,"['ip-10-91-25-13.bain.com', 'i-064b37b87c4382afa']","['ntp', 'docker', 'aws', 'agent']","['aws', 'agent']",1632489461,True,"{'Datadog': ['tier:dev_application:pricing_department:tsg_owner:tsgenterpriseinfra_casecode:y8bk', 'host:i-064b37b87c4382afa'], 'Amazon Web Services': ['account:baintsg', 'application:pricing', 'availability-zone:us-east-1b', 'aws_account:379084356790', 'aws_autoscaling_groupname:tf-asg-20210409144952615800000005', 'casecode:y8bk', 'cloud_provider:aws', 'department:tsg', 'iam_profile:nomad-pricing-dev-client20210409144943789400000003', 'image:ami-0fdb4a9b49db1a1c1', 'instance-type:t3.large', 'kernel:none', 'managedby:ansible', 'monitoredby:datadog', 'name:nomad-pricing-dev-client', 'nomad-pricing-dev-clients:nomad-pricing', 'owner:tsgcloudops', 'region:us-east-1', 'security-group:sg-04ca41e5a7c8b1a84', 'tier:dev']}",10.91.25.13
saobasql2v,['saobasql2v'],"['vsphere', 'agent']","['vsphere', 'agent']",1632487587,True,"{'Datadog': ['host:saobasql2v'], 'vSphere': ['department:tsg', 'location:sao', 'tier:production', 'vcenter_server:corpvc1.bain.com', 'vsphere_cluster:sao', 'vsphere_datacenter:local_office', 'vsphere_folder:datacenters', 'vsphere_folder:sao', 'vsphere_folder:vm', 'vsphere_folder:vms', 'vsphere_host:saoesxi03.bain.com', 'vsphere_type:vm']}",10.144.4.70
aks-akslxpool-34527025-vmss00000o-mendix-dev-aks,"['aks-akslxpool-34527025-vmss00000o-mendix-dev-aks', '954451e1-6acc-4f87-ad3b-0b06c7a6c4fe']","['ntp', 'agent', 'coredns', 'kubernetes_state', 'azure', 'kubernetes']","['azure', 'agent']",1632489736,True,"{'Azure': ['aksapiserveripaddress:10.193.153.4', 'application:mendix', 'availability-zone:eastus2', 'backupretention:7', 'casecode:l7cv', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'creationsource:vmssclient-aks-akslxpool-34527025-vmss', 'department:nextgen', 'managedwith:terraform', 'name:aks-akslxpool-34527025-vmss_24', 'operating_system:linux', 'orchestrator:kubernetes:1.19.13', 'owner:tsgcloudops', 'poolname:akslxpool', 'region:eastus2', 'resource_group:nextgen-mendix-dev-aks', 'resourcenamesuffix:34527025', 'size:standard_ds3_v2', 'subscription_id:6f3bf2b5-c360-4bdf-9b5d-a78d753fa3bb', 'subscription_name:nextgen-mendix', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:devlopment'], 'Datadog': ['cluster_name:mendix-dev-aks', 'kube_cluster_name:mendix-dev-aks', 'kube_node_role:agent', 'host:aks-akslxpool-34527025-vmss00000o-mendix-dev-aks']}",
datadog-knm29,"['datadog-knm29', 'aks-akslxpool-34527025-vmss00000m-mendix-dev-aks', '6f282b8b-2789-415f-b1a1-ec34a0683363']","['ntp', 'kubernetes_state', 'agent', 'coredns', 'kubernetes', 'azure']","['azure', 'agent']",1632488692,True,"{'Azure': ['aksapiserveripaddress:10.193.153.4', 'application:mendix', 'availability-zone:eastus2', 'backupretention:7', 'casecode:l7cv', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'creationsource:vmssclient-aks-akslxpool-34527025-vmss', 'department:nextgen', 'managedwith:terraform', 'name:aks-akslxpool-34527025-vmss_22', 'operating_system:linux', 'orchestrator:kubernetes:1.19.13', 'owner:tsgcloudops', 'poolname:akslxpool', 'region:eastus2', 'resource_group:nextgen-mendix-dev-aks', 'resourcenamesuffix:34527025', 'size:standard_ds3_v2', 'subscription_id:6f3bf2b5-c360-4bdf-9b5d-a78d753fa3bb', 'subscription_name:nextgen-mendix', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:devlopment'], 'Datadog': ['cluster_name:mendix-dev-aks', 'kube_cluster_name:mendix-dev-aks', 'kube_node_role:agent', 'host:datadog-knm29']}",
amer-dr-7668099c-vault000004,"['amer-dr-7668099c-vault000004', '4eef7556-1193-4beb-b84e-08aa2776eaeb']","['agent', 'azure']","['azure', 'agent']",1632489651,True,"{'Azure': ['application:vaultenterprise', 'availability-zone:eastus2-2', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'cluster-version:0.0.2', 'department:tsg', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:amer-dr-7668099c-vault-servers_4', 'operating_system:linux', 'owner:tsginfraops', 'region:eastus2', 'resource_group:amer-dr-7668099c-vault-cluster', 'role:vaultenterprisenode', 'size:standard_d2s_v3', 'subscription_id:c3781c31-d5af-4c19-bc28-96f2f5e07068', 'subscription_name:bain-central', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production', 'ttl:0'], 'Datadog': ['host:amer-dr-7668099c-vault000004']}",10.216.0.11
i-05c4f62ddaf518885,"['ip-10-91-25-64.bain.com', 'i-05c4f62ddaf518885']","['ntp', 'agent', 'aws', 'consul']","['aws', 'agent']",1632488708,True,"{'Datadog': ['host:i-05c4f62ddaf518885'], 'Amazon Web Services': ['account:baintsg', 'application:vaultenterprise', 'availability-zone:us-east-1b', 'aws_account:379084356790', 'aws_autoscaling_groupname:aws-vault-dev-consul-kv-0.0.2', 'casecode:f4eh', 'cloud_provider:aws', 'cluster-version:0.0.2', 'department:tsg', 'environment-name:aws-vault-dev-consul-kv', 'iam_profile:aws-vault-dev-vault20210901182252838100000002', 'image:ami-0ae51efabaf0590d7', 'instance-type:m5.large', 'kernel:none', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:aws-vault-dev-consul-kv-0.0.2', 'owner:tsginfraops', 'region:us-east-1', 'role:consulenterprisenode', 'security-group:sg-07ba5dae5cc1156c5', 'tier:development', 'ttl:0']}",10.91.25.64
i-07573a859c7748372,"['ip-10-91-24-155.bain.com', 'i-07573a859c7748372']","['agent', 'ntp', 'aws', 'vault']","['aws', 'agent']",1632488683,True,"{'Datadog': ['host:i-07573a859c7748372'], 'Amazon Web Services': ['account:baintsg', 'application:vaultenterprise', 'availability-zone:us-east-1a', 'aws_account:379084356790', 'aws_autoscaling_groupname:aws-amer-vault-vault-0.0.20', 'casecode:f4eh', 'cloud_provider:aws', 'cluster-version:0.0.20', 'department:tsg', 'iam_profile:aws-amer-vault-vault20210416195526610200000002', 'image:ami-0ae51efabaf0590d7', 'instance-type:m5.large', 'kernel:none', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:aws-amer-vault-vault-0.0.20', 'owner:tsginfraops', 'region:us-east-1', 'role:vaultenterprisenode', 'security-group:sg-0fd26c1f9fa82bee6', 'tier:production', 'ttl:0']}",10.91.24.155
amer-e14ddc4d-vault000005,"['b1af1cf0-9d34-4d0d-8533-eea16e2832e8', 'amer-e14ddc4d-vault000005']","['agent', 'azure']","['azure', 'agent']",1632488374,True,"{'Azure': ['application:vaultenterprise', 'availability-zone:eastus2-3', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'cluster-version:0.0.2', 'department:tsg', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:amer-e14ddc4d-vault-servers_5', 'operating_system:linux', 'owner:tsginfraops', 'region:eastus2', 'resource_group:amer-e14ddc4d-vault-cluster', 'role:vaultenterprisenode', 'size:standard_d2s_v3', 'subscription_id:c3781c31-d5af-4c19-bc28-96f2f5e07068', 'subscription_name:bain-central', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production', 'ttl:0'], 'Datadog': ['host:amer-e14ddc4d-vault000005']}",10.216.0.17
aks-akslxpool-34527025-vmss00000y-mendix-dev-aks,"['aks-akslxpool-34527025-vmss00000y-mendix-dev-aks', '8bdad5f3-d767-4d8f-a716-00a672b4fc62']","['kubernetes_state', 'agent', 'kubernetes', 'ntp', 'azure']","['azure', 'agent']",1632488692,True,"{'Azure': ['aksapiserveripaddress:10.193.153.4', 'application:mendix', 'availability-zone:eastus2', 'backupretention:7', 'casecode:l7cv', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'creationsource:vmssclient-aks-akslxpool-34527025-vmss', 'department:nextgen', 'managedwith:terraform', 'name:aks-akslxpool-34527025-vmss_34', 'operating_system:linux', 'orchestrator:kubernetes:1.19.13', 'owner:tsgcloudops', 'poolname:akslxpool', 'region:eastus2', 'resource_group:nextgen-mendix-dev-aks', 'resourcenamesuffix:34527025', 'size:standard_ds3_v2', 'subscription_id:6f3bf2b5-c360-4bdf-9b5d-a78d753fa3bb', 'subscription_name:nextgen-mendix', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:devlopment'], 'Datadog': ['cluster_name:mendix-dev-aks', 'kube_cluster_name:mendix-dev-aks', 'kube_node_role:agent', 'host:aks-akslxpool-34527025-vmss00000y-mendix-dev-aks']}",
amer-dr-7668099c-consul00000A,"['amer-dr-7668099c-consul00000A', '7fabde2c-e033-4f06-8b12-860cf52698d2']","['agent', 'consul', 'azure']","['azure', 'agent']",1632488740,True,"{'Azure': ['application:vaultenterprise', 'availability-zone:eastus2-1', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'cluster-version:0.0.2', 'department:tsg', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:amer-dr-7668099c-consul-servers_10', 'operating_system:linux', 'owner:tsginfraops', 'region:eastus2', 'resource_group:amer-dr-7668099c-consul-cluster', 'role:consulenterprisenode', 'size:standard_d2s_v3', 'subscription_id:c3781c31-d5af-4c19-bc28-96f2f5e07068', 'subscription_name:bain-central', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production', 'ttl:0'], 'Datadog': ['host:amer-dr-7668099c-consul00000A']}",10.216.0.24
i-06bbaacc2ef5571be,"['ip-10-91-25-68.bain.com', 'i-06bbaacc2ef5571be']","['ntp', 'agent', 'aws']","['aws', 'agent']",1632487730,True,"{'Datadog': ['host:i-06bbaacc2ef5571be'], 'Amazon Web Services': ['account:baintsg', 'application:pricing', 'autojoinname:nomad-pricing-servers', 'availability-zone:us-east-1b', 'aws_account:379084356790', 'aws_autoscaling_groupname:nomad-pricing-server20200914232623071800000001', 'casecode:y8bk', 'cloud_provider:aws', 'department:tsg', 'iam_profile:nomad-pricing-server20200914215203709400000003', 'image:ami-0fdb4a9b49db1a1c1', 'instance-type:t3.large', 'kernel:none', 'managedby:ansible', 'monitoredby:datadog', 'name:nomad-pricing-server', 'owner:tsgcloudops', 'region:us-east-1', 'security-group:sg-07a5241217bb6de0e', 'tier:production']}",10.91.25.68
amer-e14ddc4d-consul000008,"['fe2b946c-248a-4f44-bf19-ab8efd203f64', 'amer-e14ddc4d-consul000008']","['agent', 'azure', 'consul']","['azure', 'agent']",1632488723,True,"{'Azure': ['application:vaultenterprise', 'availability-zone:eastus2-2', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'cluster-version:0.0.2', 'department:tsg', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:amer-e14ddc4d-consul-servers_8', 'operating_system:linux', 'owner:tsginfraops', 'region:eastus2', 'resource_group:amer-e14ddc4d-consul-cluster', 'role:consulenterprisenode', 'size:standard_d2s_v3', 'subscription_id:c3781c31-d5af-4c19-bc28-96f2f5e07068', 'subscription_name:bain-central', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production', 'ttl:0'], 'Datadog': ['host:amer-e14ddc4d-consul000008']}",10.216.0.49
i-0c25f37981a0c3981,"['ip-10-91-24-238.bain.com', 'i-0c25f37981a0c3981']","['agent', 'ntp', 'aws', 'consul']","['aws', 'agent']",1632488665,True,"{'Datadog': ['host:i-0c25f37981a0c3981'], 'Amazon Web Services': ['account:baintsg', 'application:vaultenterprise', 'availability-zone:us-east-1a', 'aws_account:379084356790', 'aws_autoscaling_groupname:aws-vault-dev-dr-consul-kv-0.0.2', 'casecode:f4eh', 'cloud_provider:aws', 'cluster-version:0.0.2', 'department:tsg', 'environment-name:aws-vault-dev-dr-consul-kv', 'iam_profile:aws-vault-dev-dr-vault20210902174829027400000002', 'image:ami-0ae51efabaf0590d7', 'instance-type:m5.large', 'kernel:none', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:aws-vault-dev-dr-consul-kv-0.0.2', 'owner:tsginfraops', 'region:us-east-1', 'role:consulenterprisenode', 'security-group:sg-080c81719061aac46', 'tier:development', 'ttl:0']}",10.91.24.238
SAOBACKUP2P,['SAOBACKUP2P'],['agent'],['agent'],1632489218,True,"{'Datadog': ['application:crashplan', 'casecode:f4eh', 'department:tsg', 'location:sao', 'owner:enterpriseinfra', 'tier:production', 'host:SAOBACKUP2P']}",10.144.4.28
amer-e14ddc4d-consul000007,"['amer-e14ddc4d-consul000007', '4847f64c-da9f-43b0-9d5b-5c5b226e1b67']","['azure', 'agent', 'consul']","['azure', 'agent']",1632488714,True,"{'Azure': ['application:vaultenterprise', 'availability-zone:eastus2-1', 'casecode:f4eh', 'client_id:6dea91c6-520e-4aaf-8a2d-211a021e674b', 'cloud_provider:azure', 'cluster-version:0.0.2', 'department:tsg', 'managedwith:terraformenterprise', 'monitoredby:datadog', 'name:amer-e14ddc4d-consul-servers_7', 'operating_system:linux', 'owner:tsginfraops', 'region:eastus2', 'resource_group:amer-e14ddc4d-consul-cluster', 'role:consulenterprisenode', 'size:standard_d2s_v3', 'subscription_id:c3781c31-d5af-4c19-bc28-96f2f5e07068', 'subscription_name:bain-central', 'tenant_name:eb120e12-65f1-477a-be8c-fe4f65926724', 'tier:production', 'ttl:0'], 'Datadog': ['host:amer-e14ddc4d-consul000007']}",10.216.0.48
